Spearman	Kendall	MutualInformation
0.38	0.28	2.71
-0.05	0.06	2.20
-0.05	-0.03	3.04
-0.04	-0.01	3.22
-0.03	0.03	2.83
-0.20	-0.15	2.83
0.05	0.04	3.30
0.33	0.25	2.64
0.31	0.24	2.30
-0.20	-0.12	2.71
0.46	0.34	2.64
-0.26	-0.20	1.79
0.27	0.22	2.20
0.01	-0.01	3.09
-0.43	-0.28	2.20
0.36	0.23	2.56
0.42	0.33	2.20
0.60	0.43	2.83
0.01	-0.06	2.48
0.55	0.41	2.83
0.53	0.44	2.20
1.00	1.00	0.69
0.33	0.26	3.09
-0.73	-0.50	2.20
0.19	0.10	2.71
0.50	0.33	1.10
-0.43	-0.36	2.08
0.17	0.15	2.48
-0.14	-0.05	1.95
-0.03	-0.04	3.14
1.00	1.00	0.69
-0.46	-0.35	3.00
0.10	0.10	3.04
-0.43	-0.36	2.08
-0.31	-0.21	3.18
0.54	0.43	1.95
0.21	0.24	2.89
0.35	0.23	3.09
0.50	0.33	3.09
0.20	0.15	2.56
0.02	0.01	3.22
-0.14	-0.12	2.89
-0.15	-0.12	2.83
0.37	0.24	2.83
0.39	0.27	2.48
0.60	0.40	1.61
-0.01	0.00	2.48
0.10	0.09	2.48
-0.14	-0.10	3.47
1.00	1.00	1.10
0.13	0.09	3.00
0.52	0.33	2.56
-0.18	-0.16	2.83
-0.24	-0.17	2.77
0.64	0.43	1.95
0.45	0.31	2.71
-0.30	-0.20	1.61
-0.17	-0.16	2.40
0.52	0.39	2.48
0.50	0.33	1.10
0.01	-0.02	2.77
-0.07	-0.05	3.33
-0.64	-0.43	1.95
-0.03	-0.05	2.89
-0.76	-0.55	2.48
-0.05	0.02	3.00
0.05	0.05	2.40
0.39	0.33	2.30
0.26	0.24	3.04
-0.42	-0.30	2.48
-0.06	-0.05	2.64
-0.43	-0.29	2.30
0.07	0.02	2.94
0.05	0.01	2.83
-0.08	-0.06	2.20
0.26	0.16	2.71
0.12	-0.01	2.64
0.44	0.33	3.30
0.33	0.20	2.71
0.21	0.17	3.00
0.02	0.07	2.30
0.29	0.19	3.00
0.08	0.06	2.20
0.07	0.10	2.56
0.20	0.14	3.14
0.23	0.22	2.20
-0.36	-0.25	3.22
-0.45	-0.30	2.64
0.33	0.21	2.48
0.28	0.19	3.22
0.10	0.04	3.14
0.12	0.07	3.00
0.74	0.57	3.09
0.50	0.40	1.61
0.20	0.11	3.37
0.52	0.39	2.48
-0.32	-0.24	1.95
0.16	0.12	2.64
0.03	0.03	2.56
0.33	0.25	3.09
0.16	0.09	2.40
-0.12	-0.06	3.30
-0.26	-0.12	2.64
0.02	0.02	3.04
-0.32	-0.23	2.89
-0.49	-0.33	1.79
-0.25	-0.20	2.40
0.50	0.36	3.76
0.25	0.12	2.71
-0.07	-0.05	3.43
0.07	0.05	3.40
0.25	0.17	3.40
0.21	0.07	2.30
-0.15	-0.06	3.09
-0.17	-0.11	3.43
0.07	0.04	3.37
0.06	0.04	3.37
-0.31	-0.20	1.79
0.77	0.60	1.79
0.21	0.14	3.18
0.20	0.09	2.48
0.18	0.14	3.04
0.17	0.11	3.04
-0.28	-0.23	2.89
0.16	0.12	2.64
0.29	0.18	2.56
-0.28	-0.20	2.40
0.48	0.29	2.30
0.33	0.23	3.18
0.25	0.20	2.71
0.20	0.15	3.18
-0.09	0.01	2.64
0.20	0.15	2.89
0.62	0.47	2.30
0.37	0.28	2.83
0.34	0.23	3.22
0.12	0.09	2.83
-0.21	-0.14	2.64
0.02	0.03	2.83
0.29	0.22	2.71
0.08	0.06	2.83
-0.07	-0.05	3.14
0.33	0.25	3.22
0.29	0.22	3.14
0.44	0.31	2.56
-0.50	-0.33	1.10
0.00	-0.02	2.40
-0.03	-0.02	2.30
0.34	0.25	3.43
0.22	0.18	3.50
-0.24	-0.15	3.14
0.15	0.10	3.33
0.37	0.33	1.79
-0.15	-0.10	2.71
0.43	0.21	2.08
0.17	0.08	2.77
0.01	-0.01	3.22
0.32	0.19	3.40
0.20	0.10	2.89
-0.01	-0.02	3.43
-0.30	-0.22	3.30
0.05	0.01	2.64
0.19	0.15	3.00
0.01	0.06	3.09
0.47	0.36	3.22
-0.03	-0.05	2.71
-0.20	-0.11	2.89
-0.20	-0.15	2.89
0.02	0.00	2.77
0.13	0.08	3.00
-0.33	-0.24	2.83
-0.42	-0.30	3.14
0.28	0.18	2.48
-0.12	-0.05	3.30
-0.14	-0.05	2.56
0.49	0.39	2.89
0.43	0.30	2.48
-0.20	-0.17	2.20
-0.16	-0.11	3.64
0.46	0.29	2.83
0.24	0.17	3.56
1.00	1.00	0.69
0.43	0.31	2.56
0.32	0.24	3.00
0.08	0.09	2.83
0.25	0.17	3.43
-0.06	-0.06	2.83
0.15	0.06	2.48
-0.30	-0.26	2.56
0.48	0.33	2.77
0.16	0.12	3.14
0.42	0.33	2.20
-0.14	-0.11	3.30
0.27	0.18	3.26
-0.11	-0.03	2.77
-0.27	-0.16	2.71
0.40	0.30	3.14
-0.01	-0.01	2.64
0.46	0.43	1.95
0.20	0.12	2.48
0.28	0.28	2.20
-0.10	0.00	1.61
-0.14	-0.05	2.40
-0.11	-0.09	2.94
0.10	0.07	3.33
0.70	0.50	2.94
0.28	0.16	3.37
0.13	0.10	3.91
0.20	0.00	1.39
-0.25	-0.16	2.71
-0.06	-0.05	3.18
0.07	0.11	2.30
0.40	0.33	1.39
0.28	0.16	2.71
0.24	0.13	2.56
-0.01	-0.03	2.56
-0.15	-0.10	3.43
-0.01	-0.03	3.30
0.08	0.04	2.94
-0.02	-0.03	2.77
0.05	-0.05	2.56
0.18	0.16	2.83
0.37	0.33	2.30
0.18	0.12	3.00
0.14	0.11	3.14
-0.10	-0.07	2.77
0.41	0.27	2.77
0.13	0.11	3.00
0.30	0.20	1.61
0.24	0.17	3.53
0.18	0.13	3.43
-0.25	-0.24	2.40
0.49	0.36	3.37
-0.26	-0.20	2.89
0.70	0.60	1.61
0.29	0.26	2.83
-0.12	-0.08	2.94
-0.20	-0.07	1.79
0.30	0.20	1.61
-0.23	-0.16	2.94
-0.41	-0.33	2.30
-0.05	-0.05	2.94
0.55	0.43	2.08
-0.27	-0.21	2.56
-0.15	-0.12	2.83
1.00	1.00	1.10
-0.32	-0.20	2.30
0.12	0.13	2.40
0.16	0.08	2.77
0.02	0.01	3.75
0.37	0.26	2.56
0.43	0.33	1.95
0.45	0.32	2.77
0.15	0.08	3.37
0.40	0.28	2.83
-0.06	-0.03	2.71
0.37	0.31	2.71
0.30	0.22	2.83
-0.30	-0.24	2.40
0.36	0.22	2.77
-0.03	-0.07	2.71
-0.17	-0.16	2.83
0.55	0.36	2.08
0.57	0.52	1.95
